n	tiempo
199501	0.600403
200001	0.581373
200501	0.569905
201001	0.578099
201501	0.577932
202001	0.58537
202501	0.585537
203001	0.583857
203501	0.600512
204001	0.59732
204501	0.586793
205001	0.597866
205501	0.598739
206001	0.594193
206501	0.614021
207001	0.590739
207501	0.596979
208001	0.618458
208501	0.614249
209001	0.607525
209501	0.648839
210001	0.613182
210501	0.644282
211001	0.628595
211501	0.617113
212001	0.607961
212501	0.5983
213001	0.606875
213501	0.619253
214001	0.620128
214501	0.623776
215001	0.662944
215501	0.625084
216001	0.611323
216501	0.62718
217001	0.638524
217501	0.6875
218001	0.725233
218501	0.74936
219001	0.732404
219501	0.66354
220001	0.654823
220501	0.686631
221001	0.650569
221501	0.650351
222001	0.658966
222501	0.66044
223001	0.663039
223501	0.659946
224001	0.691546
224501	0.68056
225001	0.70353
225501	0.695843
226001	0.745781
226501	0.729464
227001	0.690373
227501	0.697471
228001	0.699459
228501	0.701639
229001	0.688605
229501	0.754678
230001	0.795348
230501	0.889265
231001	0.90053
231501	0.718984
232001	0.682512
232501	0.681762
233001	0.684122
233501	0.688375
234001	0.685034
234501	0.691179
235001	0.688414
235501	0.684533
236001	0.693511
236501	0.702036
237001	0.681158
237501	0.699084
238001	0.713511
238501	0.729423
239001	0.715147
239501	0.710403
240001	0.718477
240501	0.719647
241001	0.707138
241501	0.727252
242001	0.728988
242501	0.723619
243001	0.729329
243501	0.725107
244001	0.731275
244501	0.727764
245001	0.718131
245501	0.722392
246001	0.732903
246501	0.733148
247001	0.730281
247501	0.734275
248001	0.743115
248501	0.744834
249001	0.759
249501	0.7629
250001	0.796948
250501	0.767811
251001	0.754645
251501	0.809592
252001	0.766742
252501	0.762922
253001	0.755006
253501	0.760555
254001	0.771428
254501	0.798331
255001	0.838821
255501	0.846123
256001	0.840589
256501	0.792899
257001	0.777097
257501	0.861709
258001	0.828822
258501	0.819205
259001	0.884507
259501	0.808494
260001	0.819136
260501	0.786831
261001	0.792731
261501	0.792875
262001	0.821452
262501	0.802573
263001	0.806743
263501	0.819827
264001	0.840659
264501	0.806183
265001	0.821165
265501	0.919874
266001	0.813785
266501	0.82824
267001	0.798713
267501	0.882004
268001	1.11719
268501	0.993544
269001	0.832446
269501	0.858394
270001	0.933231
270501	0.864927
271001	0.839018
271501	0.901595
272001	0.861124
272501	0.853088
273001	0.84839
273501	0.852307
274001	0.844068
274501	0.854667
275001	0.84385
275501	0.84981
276001	0.861238
276501	0.851548
